GtecTime,UnityTime,CombinedEyeValidDataBitMask,LeftEyeValidDataBitMask,RightEyeValidDataBitMask,CombinedEyeOpenness,LeftEyeOpenness,RightEyeOpenness,CombinedPupilDiameter,LeftPupilDiameter,RightPupilDiameter,CombinedPupilPosition,LeftPupilPosition,RightPupilPosition,CombinedGazeOrigin,LeftGazeOrigin,RightGazeOrigin,CombinedGazeDirection,LeftGazeDirection,RightGazeDirection
0,13-55-36.880,3,31,31,0,1,1,0,3.883804,3.560089,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(10.5, 8.5, -34.7)","(33.0, 9.2, -34.9)","(-30.5, 7.3, -34.5)","(0.0, -0.1, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.896,3,31,31,0,1,1,0,3.888672,3.604248,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-10.2, 7.9, -34.6)","(33.0, 9.2, -34.9)","(-30.5, 7.3, -34.5)","(0.1, -0.1, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.913,3,31,31,0,1,1,0,3.901718,3.60495,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-10.4, 7.9, -34.6)","(33.0, 9.2, -34.9)","(-30.5, 7.3, -34.5)","(0.1, -0.1, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.930,3,31,31,0,1,1,0,3.902527,3.604507,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-6.4, 8.0, -34.6)","(33.0, 9.2, -34.9)","(-30.5, 7.3, -34.5)","(0.1, -0.1, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.950,3,31,31,0,1,1,0,3.902588,3.606186,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-5.3, 8.0, -34.6)","(33.0, 9.2, -34.9)","(-30.5, 7.3, -34.5)","(0.1, -0.1, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.974,3,31,31,0,1,1,0,3.915985,3.603989,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-5.7, 8.0, -34.6)","(33.1, 9.2, -34.9)","(-30.5, 7.3, -34.5)","(0.1, -0.1, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.993,3,31,31,0,1,1,0,3.930771,3.603912,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-6.1, 8.0, -34.7)","(33.1, 9.2, -35.0)","(-30.5, 7.3, -34.5)","(0.1, -0.1, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-37.010,3,31,31,0,1,1,0,3.930466,3.586472,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-8.4, 7.9, -34.7)","(33.1, 9.2, -35.0)","(-30.5, 7.3, -34.5)","(0.1, -0.1, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-37.026,3,31,31,0,1,1,0,3.929214,3.579269,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-13.2, 7.8, -34.6)","(33.1, 9.2, -35.1)","(-30.5, 7.3, -34.5)","(0.1, -0.1, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-37.043,3,31,31,0,1,1,0,3.926468,3.574753,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-17.6, 7.7, -34.6)","(33.1, 9.2, -35.1)","(-30.5, 7.3, -34.5)","(0.1, -0.1, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-37.060,3,31,31,0,1,1,0,3.915009,3.574402,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-17.0, 7.7, -34.6)","(33.1, 9.2, -35.1)","(-30.5, 7.3, -34.5)","(0.1, -0.1, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-37.077,3,31,31,0,1,1,0,3.926163,3.568817,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-13.5, 7.8, -34.6)","(33.1, 9.2, -35.2)","(-30.5, 7.3, -34.5)","(0.1, -0.1, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-37.094,3,31,31,0,1,1,0,3.925735,3.568909,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-9.1, 7.9, -34.7)","(33.1, 9.2, -35.2)","(-30.5, 7.3, -34.5)","(0.1, -0.1, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-37.113,3,31,31,0,1,1,0,3.911713,3.570282,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-6.6, 8.0, -34.7)","(33.1, 9.2, -35.2)","(-30.5, 7.3, -34.5)","(0.1, -0.1, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-37.132,3,31,31,0,1,1,0,3.897644,3.569702,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-5.8, 8.0, -34.8)","(33.1, 9.2, -35.2)","(-30.5, 7.3, -34.5)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
